"loan_id","installment_id","installment_number","installment_duedate","repaid_date","capital_due","capital_paid","interests_paid"
"loan_0009418","8z7804g67h145513017h180iii297xi0","5","2022-01-31",NA,0,0,0
"loan_0009418","8z7804g67h145513017h180iii0h7xxi","4","2022-01-17",NA,0,0,0
"loan_4417906","8z7801x07h71729h017h7307hg2319ig","2","2021-12-31","2021-12-31",191.99,191.99,0
"loan_4417906","8z7801x07h71729h017h7307hg4219ii","6","2022-02-28","2022-03-01",191.99,191.99,0
"loan_4417906","8z7801x07h71729h017h7307hg4219ix","5","2022-02-15","2022-02-12",191.99,191.99,0
"loan_4417906","8z7801x07h71729h017h7307hg2319ih","4","2022-01-31","2022-02-12",191.99,191.99,58
"loan_4417906","8z7801x07h71729h017h7307hg421z00","7","2022-03-15","2022-03-14",191.99,191.99,0
"loan_4417906","8z7801x07h71729h017h7307hg421z01","8","2022-03-31",NA,187.47129999999999,0,0
"loan_4417906","8z7801x07h71729h017h7307hg2319iz","1","2021-12-15","2021-12-17",191.99,191.99,58
"loan_4417906","8z7801x07h71729h017h7307hg2319iy","3","2022-01-17","2022-02-12",191.99,191.99,58
"loan_8410636","8z780h3g7hhh2700017hhi5102xi06g6","2","2022-01-17","2022-01-16",132.0205,132.0205,0
"loan_8410636","8z780h3g7hhh2700017hhi51030h06g7","3","2022-01-31","2022-01-28",131.4,131.4,0
"loan_8410636","8z780h3g7hhh2700017hhi51030h06gz","6","2022-03-15","2022-03-14",128.80849999999998,128.80849999999998,0
"loan_8410636","8z780h3g7hhh2700017hhi51030h06g9","5","2022-02-28","2022-02-26",131.4,131.4,0
"loan_8410636","8z780h3g7hhh2700017hhi51030h06g8","4","2022-02-15","2022-02-14",131.4,131.4,0
"loan_8410636","8z780h3g7hhh2700017hhi5102xi06g5","1","2021-12-31","2021-12-29",131.4,131.4,0
"loan_9150090","8z780y927ixi6ghx017ii2hx4g622284","1","2022-04-18","2022-05-27",81.75999999999999,81.75999999999999,58
"loan_9150090","8z780y927ixi6ghx017ii2hx4g762288","5","2022-06-15","2022-06-15",109.5,109.5,0
"loan_9150090","8z780y927ixi6ghx017ii2hx4g622286","3","2022-05-16","2022-05-29",81.75999999999999,81.75999999999999,58
"loan_9150090","8z780y927ixi6ghx017ii2hx4g762287","4","2022-05-31","2022-05-29",112.42,112.42,0
"loan_9150090","8z780y927ixi6ghx017ii2hx4g622285","2","2022-05-02","2022-05-29",81.75999999999999,81.75999999999999,58
"loan_9150090","8z780y927ixi6ghx017ii2hx4g762289","6","2022-06-30",NA,23.36,0,0
"loan_1690792","8z78217h7hzxh2z1017hzi7h28h35966","2","2022-01-17","2022-01-14",265.5302,265.5302,13.96
"loan_1690792","8z78217h7hzxh2z1017hzi7h28h35967","3","2022-01-31",NA,0,0,0
"loan_1690792","8z78217h7hzxh2z1017hzi7h28h35968","4","2022-02-15",NA,0,0,0
"loan_1690792","8z78217h7hzxh2z1017hzi7h28h5596y","8","2022-04-18",NA,0,0,0
"loan_1690792","8z78217h7hzxh2z1017hzi7h28h5596z","6","2022-03-15",NA,0,0,0
"loan_1690792","8z78217h7hzxh2z1017hzi7h28h5596g","7","2022-03-31",NA,0,0,0
"loan_1690792","8z78217h7hzxh2z1017hzi7h28h35969","5","2022-02-28",NA,0,0,0
"loan_1690792","8z78217h7hzxh2z1017hzi7h28h35965","1","2021-12-31","2021-12-24",391.32379999999995,391.32379999999995,19.94
"loan_3577310","8z7821368009337i01800z65x9877609","1","2022-05-02","2022-05-02",693.5,693.5,0
"loan_3577310","8z7821368009337i01800z65x987760g","3","2022-05-31",NA,693.5,0,0
"loan_3577310","8z7821368009337i01800z65x99g760x","6","2022-07-15",NA,692.77,0,0
"loan_3577310","8z7821368009337i01800z65x987760z","2","2022-05-16","2022-05-16",693.5,693.5,0
"loan_3577310","8z7821368009337i01800z65x99g760h","5","2022-06-30",NA,693.5,0,0
"loan_3577310","8z7821368009337i01800z65x99g760y","4","2022-06-15",NA,693.5,0,0
"loan_9014162","8z7825g27h5y6xh1017h5i0g3g085g62","8","2022-03-31",NA,474.0255,0,0
"loan_9014162","8z7825g27h5y6xh1017h5i0g3g065g5h","3","2022-01-17","2022-01-15",474.5,474.5,0
"loan_9014162","8z7825g27h5y6xh1017h5i0g3g065g61","7","2022-03-15",NA,474.5,0,0
"loan_9014162","8z7825g27h5y6xh1017h5i0g3g065g60","6","2022-02-28",NA,474.5,0,0
"loan_9014162","8z7825g27h5y6xh1017h5i0g3g065g5i","5","2022-02-15",NA,474.5,0,0
"loan_9014162","8z7825g27h5y6xh1017h5i0g3g065g5x","4","2022-01-31",NA,474.5,0,0
"loan_9014162","8z7825g27h5y6xh1017h5i0g3zi45g5g","1","2021-12-15","2021-12-15",474.5,474.5,0
"loan_9014162","8z7825g27h5y6xh1017h5i0g3zi45g5y","2","2021-12-31","2021-12-30",474.5,474.5,0
"loan_5901526","8z7823217ihyyg87017ihxz474i20hy5","6","2022-06-30","2022-07-13",156.22,156.22,58
"loan_5901526","8z7823217ihyyg87017ihxz474h20hy0","1","2022-04-18","2022-04-13",158.41,158.41,0
"loan_5901526","8z7823217ihyyg87017ihxz474h20hy3","4","2022-05-31","2022-05-30",158.41,158.41,0
"loan_5901526","8z7823217ihyyg87017ihxz474h20hy1","2","2022-05-02","2022-04-27",158.41,158.41,0
"loan_5901526","8z7823217ihyyg87017ihxz474i20hy4","5","2022-06-15","2022-06-15",158.41,158.41,0
"loan_5901526","8z7823217ihyyg87017ihxz474h20hy2","3","2022-05-16","2022-05-14",158.41,158.41,0
"loan_4453674","8z780i218018z72y01801zy29g005z56","1","2022-05-02","2022-05-03",71.83200000000001,71.83200000000001,34.6
"loan_4453674","8z780i218018z72y01801zy29g275z58","3","2022-05-31","2022-05-31",82.16149999999999,82.16149999999999,20.45
"loan_4453674","8z780i218018z72y01801zy29g275z59","4","2022-06-15","2022-06-15",85.2348,85.2348,16.24
"loan_4453674","8z780i218018z72y01801zy29g2g5z5h","8","2022-08-15",NA,100.3896,0,0
"loan_4453674","8z780i218018z72y01801zy29g275z5z","5","2022-06-30","2022-07-01",87.4613,87.4613,13.19
"loan_4453674","8z780i218018z72y01801zy29g275z5g","6","2022-07-15","2022-07-15",89.7389,89.7389,10.07
"loan_4453674","8z780i218018z72y01801zy29g2g5z5y","7","2022-08-01",NA,91.4179,0,0
"loan_4453674","8z780i218018z72y01801zy29g275z57","2","2022-05-16","2022-05-15",83.074,83.074,19.2
"loan_6905846","8z7822817h28x91i017h2y7zx38z5y0z","1","2021-11-30","2021-11-29",3374.6002,3374.6002,0
"loan_6905846","8z7822817h28x91i017h2y7zx39g5y0g","2","2021-12-15",NA,0,0,0
"loan_7813180","8z7800047ix03zx8017ix280z1532758","5","2022-06-15",NA,919.8,0,0
"loan_7813180","8z7800047ix03zx8017ix280z13i2755","2","2022-05-02",NA,919.8,0,0
"loan_7813180","8z7800047ix03zx8017ix280z13i2754","1","2022-04-18",NA,919.8,0,0
"loan_7813180","8z7800047ix03zx8017ix280z1532759","6","2022-06-30",NA,917.61,0,0
"loan_7813180","8z7800047ix03zx8017ix280z1532757","4","2022-05-31",NA,919.8,0,0
"loan_7813180","8z7800047ix03zx8017ix280z13i2756","3","2022-05-16",NA,919.8,0,0
"loan_7985400","8z7800197yz7iig9017yzzhxg6h43g0x","4","2021-12-15","2021-12-16",467.2,467.2,0
"loan_7985400","8z7800197yz7iig9017yzzhxg6h73g12","8","2022-02-15",NA,465.448,0,0
"loan_7985400","8z7800197yz7iig9017yzzhxg6h43g11","7","2022-01-31","2022-02-05",467.2,467.2,58
"loan_7985400","8z7800197yz7iig9017yzzhxg6g93g0y","2","2021-11-16","2021-11-17",467.2,467.2,0
"loan_7985400","8z7800197yz7iig9017yzzhxg6h43g0h","3","2021-11-30","2021-11-30",467.2,467.2,0
"loan_7985400","8z7800197yz7iig9017yzzhxg6h43g10","6","2022-01-17","2022-02-05",467.2,467.2,58
"loan_7985400","8z7800197yz7iig9017yzzhxg6g93g0g","1","2021-11-01","2021-11-05",467.2,467.2,58
"loan_7985400","8z7800197yz7iig9017yzzhxg6h43g0i","5","2021-12-31","2022-01-20",467.2,467.2,58
"loan_5880218","8z7801y880325yxz018033x45iy92x9x","2","2022-05-16",NA,924.91,0,0
"loan_5880218","8z7801y880325yxz018033x45ix82xz2","6","2022-07-15",NA,922.72,0,0
"loan_5880218","8z7801y880325yxz018033x45ix82xz1","5","2022-06-30",NA,924.91,0,0
"loan_5880218","8z7801y880325yxz018033x45iy92x9h","1","2022-05-02","2022-05-02",924.91,924.91,0
"loan_5880218","8z7801y880325yxz018033x45iy92x9i","3","2022-05-31",NA,924.91,0,0
"loan_5880218","8z7801y880325yxz018033x45iy92xz0","4","2022-06-15",NA,924.91,0,0
"loan_6898886","8z780i337h6gx216017h6x825x413y8x","1","2021-12-15","2021-12-15",245.28,245.28,0
"loan_6898886","8z780i337h6gx216017h6x825x413y91","4","2022-01-31","2022-01-30",245.28,245.28,0
"loan_6898886","8z780i337h6gx216017h6x825x413y8i","2","2021-12-31","2021-12-30",245.28,245.28,0
"loan_6898886","8z780i337h6gx216017h6x825x413y90","3","2022-01-17","2022-01-14",248.2,248.2,0
"loan_6898886","8z780i337h6gx216017h6x825x5x3y92","5","2022-02-15","2022-02-15",245.28,245.28,0
"loan_6898886","8z780i337h6gx216017h6x825x5x3y93","6","2022-02-28","2022-03-02",241.63,241.63,58
"loan_8021584","8z7824897i363216017i39310298563h","2","2022-03-31","2022-03-28",700.8,700.8,0
"loan_8021584","8z7824897i363216017i393102985640","5","2022-05-16","2022-05-16",700.8,700.8,0
"loan_8021584","8z7824897i363216017i3931029z5641","6","2022-05-31","2022-05-30",700.216,700.216,0
"loan_8021584","8z7824897i363216017i39310298563i","4","2022-05-02","2022-04-30",700.8,700.8,0
"loan_8021584","8z7824897i363216017i39310298563y","1","2022-03-15","2022-03-13",700.8,700.8,0
"loan_8021584","8z7824897i363216017i39310298563x","3","2022-04-18","2022-04-12",700.8,700.8,0
"loan_3900386","8z7822637h9z3h4i017h9yi30gi4307g","2","2022-01-17","2022-01-17",730,730,0
"loan_3900386","8z7822637h9z3h4i017h9yi30y06307i","6","2022-03-15","2022-03-17",729.2627,729.2627,58
"loan_3900386","8z7822637h9z3h4i017h9yi30y06307h","4","2022-02-15","2022-02-16",730,730,0
"loan_3900386","8z7822637h9z3h4i017h9yi30gi4307z","1","2021-12-31","2021-12-31",730,730,0
"loan_3900386","8z7822637h9z3h4i017h9yi30y06307x","5","2022-02-28","2022-03-17",730,730,58
"loan_3900386","8z7822637h9z3h4i017h9yi30y06307y","3","2022-01-31","2022-01-28",730,730,0
"loan_9217354","8z7824x77x7yhgg4017x7i887z722yi0","5","2022-03-31",NA,284.4956,0,0
"loan_9217354","8z7824x77x7yhgg4017x7i887z722yxx","3","2022-02-28",NA,277.9548,0,0
"loan_9217354","8z7824x77x7yhgg4017x7i887z722yxi","4","2022-03-15",NA,279.2323,0,0
"loan_9217354","8z7824x77x7yhgg4017x7i887z722yi2","7","2022-05-02",NA,302.5193,0,0
"loan_9217354","8z7824x77x7yhgg4017x7i887z742yi3","8","2022-05-16",NA,284.7073,0,0
"loan_9217354","8z7824x77x7yhgg4017x7i887z722yi1","6","2022-04-18",NA,289.36469999999997,0,0
"loan_9217354","8z7824x77x7yhgg4017x7i887z5h2yxy","1","2022-01-31",NA,277.4803,0,0
"loan_9217354","8z7824x77x7yhgg4017x7i887z5h2yxh","2","2022-02-15",NA,265.0557,0,0
"loan_6976584","8z7820y17hzxh7gz017hziizxzx822z0","1","2021-12-31","2022-01-03",189.7124,189.7124,80.12
"loan_6976584","8z7820y17hzxh7gz017hziizxziy22z1","2","2022-01-17","2022-03-31",201.48,201.48,122
"loan_6976584","8z7820y17hzxh7gz017hziizxzix22z6","7","2022-03-31","2022-03-31",234.57819999999998,234.57819999999998,18.66
"loan_6976584","8z7820y17hzxh7gz017hziizxziy22z3","4","2022-02-15","2022-03-31",217.83199999999997,217.83199999999997,99.6
"loan_6976584","8z7820y17hzxh7gz017hziizxziy22z5","6","2022-03-15","2022-03-31",229.4463,229.4463,83.69
"loan_6976584","8z7820y17hzxh7gz017hziizxziy22z4","5","2022-02-28","2022-03-31",226.81099999999998,226.81099999999998,87.3
"loan_6976584","8z7820y17hzxh7gz017hziizxziy22z2","3","2022-01-31","2022-03-31",214.63459999999998,214.63459999999998,103.98
"loan_6976584","8z7820y17hzxh7gz017hziizxzix22z7","8","2022-04-18","2022-06-16",254.7335,254.7335,68.93
"loan_8972594","8z7809y07yyy0781017yyh174h262694","4","2021-12-31","2022-01-02",199.4725,199.4725,15.75
"loan_8972594","8z7809y07yyy0781017yyh174h422695","5","2022-01-17","2022-01-17",204.65550000000002,204.65550000000002,8.65
"loan_8972594","8z7809y07yyy0781017yyh174h422697","7","2022-02-15",NA,0,0,0
"loan_8972594","8z7809y07yyy0781017yyh174h262692","2","2021-11-30","2021-11-25",358.7001,358.7001,20.63
"loan_8972594","8z7809y07yyy0781017yyh174h422696","6","2022-01-31",NA,8.7965,0,0
"loan_8972594","8z7809y07yyy0781017yyh174h262691","1","2021-11-16","2021-11-11",539.2656000000001,539.2656000000001,62.28
"loan_8972594","8z7809y07yyy0781017yyh174h422698","8","2022-02-28",NA,0,0,0
"loan_8972594","8z7809y07yyy0781017yyh174h262693","3","2021-12-15","2021-12-17",189.9898,189.9898,86.74
"loan_4139630","8z780h7z7xz0xz06017xz18301i93531","2","2022-02-28","2022-03-03",181.04,181.04,58
"loan_4139630","8z780h7z7xz0xz06017xz18301i93533","4","2022-03-31","2022-04-07",178.923,178.923,58
"loan_4139630","8z780h7z7xz0xz06017xz18301i93530","1","2022-02-15","2022-02-21",181.04,181.04,58
"loan_4139630","8z780h7z7xz0xz06017xz18301i93532","3","2022-03-15","2022-03-18",181.04,181.04,58
"loan_6155230","8z780h0x7h57524i017h5y6i19z779hh","7","2022-03-15",NA,235.79,0,0
"loan_6155230","8z780h0x7h57524i017h5y6i19z779hx","8","2022-03-31",NA,230.1471,0,0
"loan_6155230","8z780h0x7h57524i017h5y6i19z779hy","6","2022-02-28",NA,235.79,0,0
"loan_6155230","8z780h0x7h57524i017h5y6i19z079hg","5","2022-02-15",NA,235.79,0,0
"loan_6155230","8z780h0x7h57524i017h5y6i19z079h9","3","2022-01-17",NA,235.79,0,0
"loan_6155230","8z780h0x7h57524i017h5y6i19z079h7","1","2021-12-15",NA,235.79,0,0
"loan_6155230","8z780h0x7h57524i017h5y6i19z079hz","4","2022-01-31",NA,235.79,0,0
"loan_6155230","8z780h0x7h57524i017h5y6i19z079h8","2","2021-12-31",NA,235.79,0,0
"loan_7799208","8z7828207h33414i017h346y94h34g47","7","2022-02-28",NA,246.11219999999997,0,0
"loan_7799208","8z7828207h33414i017h346y94h34g46","6","2022-02-15",NA,236.1842,0,0
"loan_7799208","8z7828207h33414i017h346y94h34g48","8","2022-03-15",NA,247.0977,0,0
"loan_7799208","8z7828207h33414i017h346y94h04g45","5","2022-01-31",NA,233.8993,0,0
"loan_7799208","8z7828207h33414i017h346y94h04g42","2","2021-12-15",NA,216.1311,0,0
"loan_7799208","8z7828207h33414i017h346y94h34g4z","10","2022-04-18",NA,254.8576,0,0
"loan_7799208","8z7828207h33414i017h346y94h54g4g","11","2022-05-02",NA,264.917,0,0
"loan_7799208","8z7828207h33414i017h346y94h04g41","1","2021-11-30",NA,224.03699999999998,0,0
"loan_7799208","8z7828207h33414i017h346y94h34g49","9","2022-03-31",NA,251.13459999999998,0,0
"loan_7799208","8z7828207h33414i017h346y94h04g43","3","2021-12-31",NA,217.3575,0,0
"loan_7799208","8z7828207h33414i017h346y94h04g44","4","2022-01-17",NA,219.27009999999999,0,0
"loan_7799208","8z7828207h33414i017h346y94h54g4y","12","2022-05-16",NA,257.1717,0,0
"loan_9096942","8z782y048060y17z018068784x7h7x2y","6","2022-08-01",NA,247.06849999999997,0,0
"loan_9096942","8z782y048060y17z018068784x7h7x29","3","2022-06-15",NA,248.93,0,0
"loan_9096942","8z782y048060y17z018068784x7h7x2z","4","2022-06-30",NA,248.93,0,0
"loan_9096942","8z782y048060y17z018068784x7h7x28","2","2022-05-31",NA,248.93,0,0
"loan_9096942","8z782y048060y17z018068784x7h7x2g","5","2022-07-15",NA,248.93,0,0
"loan_9096942","8z782y048060y17z018068784x607x27","1","2022-05-16",NA,248.93,0,0
"loan_7022514","8z782i437h28i824017h2z2xixh407x1","1","2021-11-30","2021-11-26",527.79,527.79,0
"loan_7022514","8z782i437h28i824017h2z2xixh407x3","3","2021-12-31","2021-12-30",527.79,527.79,0
"loan_7022514","8z782i437h28i824017h2z2xixh607x8","8","2022-03-15","2022-03-15",527.571,527.571,0
"loan_7022514","8z782i437h28i824017h2z2xixh607x7","7","2022-02-28","2022-02-28",527.79,527.79,0
"loan_7022514","8z782i437h28i824017h2z2xixh407x4","4","2022-01-17","2022-01-14",527.79,527.79,0
"loan_7022514","8z782i437h28i824017h2z2xixh607x6","6","2022-02-15","2022-02-14",527.79,527.79,0
"loan_7022514","8z782i437h28i824017h2z2xixh407x5","5","2022-01-31","2022-01-28",527.79,527.79,0
"loan_7022514","8z782i437h28i824017h2z2xixh407x2","2","2021-12-15","2021-12-13",527.79,527.79,0
"loan_9966962","8z782i187i2gi401017i2y75i8503g29","1","2022-03-15","2022-03-16",460.63,460.63,0
"loan_9966962","8z782i187i2gi401017i2y75i8503g2h","5","2022-05-16","2022-05-16",459.9,459.9,0
"loan_9966962","8z782i187i2gi401017i2y75i8543g2x","6","2022-05-31","2022-05-28",459.9,459.9,0
"loan_9966962","8z782i187i2gi401017i2y75i8503g2g","3","2022-04-18","2022-04-18",459.9,459.9,0
"loan_9966962","8z782i187i2gi401017i2y75i8503g2y","4","2022-05-02","2022-05-03",459.9,459.9,0
